scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,SETUP_RESET_MAPPINGS,,"bfed9caa-ada7-49cf-ab1d-351ffbdd1af0","2020-10-16T21:03:50.529520",26.0,"2020-10-16T21:03:50.555856",PASSED,POST
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"Clear-Kafka-Queue-Webhook",,"43c0e52e-f84c-4a38-a55b-412755fae49f","2020-10-16T21:03:50.569652",4010.0,"2020-10-16T21:03:54.579838",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"8bd26248-4eeb-4410-beb8-424907e8c10c","2020-10-16T21:03:58.603861",161.0,"2020-10-16T21:03:58.765023",PASSED,produceMessage
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,SETUP_DELETE_REQUESTS,,"cb904200-3ca0-47e9-8661-9b218a1cc799","2020-10-16T21:03:50.556509",12.0,"2020-10-16T21:03:50.569009",PASSED,DELETE
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"DELAY_for_Wiremock_Processing",,"b2f9713b-b676-41ef-8d6e-2957a29323f5","2020-10-16T21:03:58.765632",7000.0,"2020-10-16T21:04:05.765768",PASSED,seconds
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"Clear-Kafka-Queue-Inventory",,"39d86b60-7726-44ab-95e9-d24bc3e4520f","2020-10-16T21:03:54.580409",4022.0,"2020-10-16T21:03:58.603079",PASSED,consume
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,"EXPECT_GET_call_to_OSP_for_Purchase_order_details",,"9f0c0f5e-0554-4373-b668-9a658673c8a2","2020-10-16T21:04:09.787634",27.0,"2020-10-16T21:04:09.814858",FAILED,POST
"mock-WHEN-event-has-zero-fields-being-ORDER-EXPECT-message-posted-to-Desp",3,Webhook-Event-Consume,,"032e5786-4491-4c1c-91a2-639f2ec9bfac","2020-10-16T21:04:05.766414",4020.0,"2020-10-16T21:04:09.786805",PASSED,consume
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"GIVEN_webhook_xtransferOrder_event_posted_on_kafka",,"557e5377-b302-4101-b931-6ca5ea622b51","2020-10-16T21:02:59.744900",33.0,"2020-10-16T21:02:59.778722",PASSED,produceMessage
"mock-WHEN-event-has-All-fields-being-TRANSFER-EXPECT-message-posted-to-Desp",0,"Clear-Kafka-Queue-Webhook",,"b84795cd-7550-4a79-a510-989d4e19b6d8","2020-10-16T21:02:51.701400",4018.0,"2020-10-16T21:02:55.720279",PASSED,consume
